Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.6621 0.6650 0.1628 FAILED PSUCC cg.f:578
0.4746 0.4767 0.5041 SUCCES PSUCC cg.f:578
0.3677 0.3702 0.4857 SUCCES PSUCC cg.f:578
0.6771 0.6818 0.3232 FAILED PSUCC cg.f:578
0.5710 0.5760 0.8033 FAILED PSUCC cg.f:578
0.5543 0.5569 0.4254 SUCCES PSUCC cg.f:578
0.8645 0.8667 0.7660 SUCCES PSUCC cg.f:578
0.6696 0.6728 0.1022 SUCCES PSUCC cg.f:577
0.0610 0.0613 0.5786 SUCCES PSUCC cg.f:578
0.4553 0.4576 0.0580 FAILED PSUCC cg.f:577
0.2637 0.2652 0.3974 SUCCES PSUCC cg.f:578
0.6584 0.6625 0.3763 SUCCES PSUCC cg.f:577
0.4670 0.4696 0.2155 SUCCES PSUCC cg.f:578
0.3585 0.3605 0.6919 SUCCES PSUCC cg.f:578
0.7523 0.7589 0.1730 SUCCES PSUCC cg.f:578
0.1486 0.1495 0.6535 SUCCES PSUCC cg.f:578
0.4598 0.4603 0.4939 FAILED PSUCC cg.f:578
0.7667 0.7739 0.8288 FAILED PSUCC cg.f:578
0.1577 0.1584 0.8072 FAILED PSUCC cg.f:578
0.0523 0.0525 0.2872 SUCCES PSUCC cg.f:578
0.3603 0.3631 0.6256 FAILED PSUCC cg.f:578
0.2514 0.2530 0.1009 FAILED PSUCC cg.f:578
0.1492 0.1500 0.0849 SUCCES PSUCC cg.f:578
0.9599 0.9645 0.9260 SUCCES PSUCC cg.f:578
0.8497 0.8541 0.9014 SUCCES PSUCC cg.f:578
0.1585 0.1595 0.7410 SUCCES PSUCC cg.f:577
0.5547 0.5562 0.2206 FAILED PSUCC cg.f:578
0.8572 0.8615 0.5558 SUCCES PSUCC cg.f:578
0.7558 0.7602 0.0378 FAILED PSUCC cg.f:681
0.6487 0.6516 0.5139 FAILED PSUCC cg.f:578
0.9539 0.9622 0.8504 SUCCES PSUCC cg.f:578
0.9421 0.9468 0.9794 SUCCES PSUCC cg.f:578
