Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.7674 0.7620 0.5733 succes PSUCC fft3d.f:2
0.8325 0.8347 0.3494 succes PSUCC fft3d.f:82
0.4905 0.4888 0.2710 succes PSUCC fft3d.f:166
0.0536 0.0535 0.0448 succes PSUCC fft3d.f:45
0.2100 0.2087 0.4660 succes PSUCC ()
0.2777 0.2766 0.2448 succes PSUCC fft3d.f:126
0.3394 0.3374 0.5176 succes PSUCC fft3d.f:82
0.4962 0.4929 0.4381 succes PSUCC fft3d.f:78
0.5588 0.5562 0.7127 succes PSUCC ()
0.1275 0.1272 0.9922 failed PSUCC fft3d.f:45
0.7880 0.7839 0.9167 succes PSUCC fft3d.f:46
0.3508 0.3491 0.6908 succes PSUCC fft3d.f:2
0.5057 0.5032 0.1098 succes PSUCC fft3d.f:48
0.0706 0.0702 0.3859 failed PSUCC fft3d.f:48
0.2220 0.2207 0.3037 failed PSUCC fft3d.f:120
0.7900 0.7854 0.5805 succes PSUCC fft3d.f:49
0.3591 0.3571 0.8610 succes PSUCC ()
0.9233 0.9220 0.1349 failed PSUCC fft3d.f:2
0.0759 0.0754 0.5527 succes PSUCC fft3d.f:2
0.1481 0.1470 0.3340 succes PSUCC fft3d.f:48
0.2086 0.2072 0.6079 succes PSUCC ()
0.7829 0.7762 0.8929 succes PSUCC fft3d.f:2
0.8432 0.8418 0.1633 succes PSUCC fft3d.f:81
0.4996 0.4971 0.0847 succes PSUCC fft3d.f:166
0.5686 0.5648 0.3629 succes PSUCC fft3d.f:48
0.1356 0.1347 0.6399 succes PSUCC fft3d.f:48
0.7884 0.7841 0.0593 succes PSUCC fft3d.f:2
0.3538 0.3550 0.8350 succes PSUCC fft3d.f:81
0.5062 0.5057 0.2523 succes PSUCC fft3d.f:120
0.0749 0.0749 0.0315 failed PSUCC fft3d.f:45
0.7260 0.7270 0.4471 succes PSUCC fft3d.f:2
0.7990 0.7970 0.7311 succes PSUCC fft3d.f:82
0.9455 0.9358 0.6447 succes PSUCC fft3d.f:48
0.5158 0.5151 0.9239 succes PSUCC fft3d.f:82
0.5896 0.5798 0.7081 succes PSUCC fft3d.f:49
0.6488 0.6434 0.9779 succes PSUCC fft3d.f:82
0.7187 0.7140 0.7584 failed PSUCC fft3d.f:82
0.2833 0.2800 0.0327 succes PSUCC fft3d.f:81
0.8528 0.8460 0.3134 succes PSUCC fft3d.f:49
0.9179 0.9203 0.0885 succes PSUCC fft3d.f:82
0.5752 0.5691 0.0107 succes PSUCC fft3d.f:82
0.1423 0.1417 0.2904 succes PSUCC fft3d.f:160
0.2007 0.1996 0.5593 succes PSUCC fft3d.f:49
0.8585 0.8583 0.4800 succes PSUCC fft3d.f:126
0.4299 0.4260 0.2639 failed PSUCC fft3d.f:82
