Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.3513 0.3490 0.5978 SUCCES PSUCC mg.f:679
0.1778 0.1779 0.0381 SUCCES PSUCC mg.f:604
0.4173 0.4144 0.8420 SUCCES PSUCC mg.f:831
0.2524 0.2532 0.2908 SUCCES PSUCC mg.f:665
0.8336 0.8324 0.1536 SUCCES PSUCC mg.f:663
0.1687 0.1677 0.1064 SUCCES PSUCC mg.f:597
0.9057 0.8929 0.4066 SUCCES PSUCC mg.f:665
0.6476 0.6452 0.2078 SUCCES PSUCC mg.f:604
0.4760 0.4727 0.1558 SUCCES PSUCC mg.f:850
0.8043 0.8060 0.0997 SUCCES PSUCC mg.f:679
0.8975 0.8911 0.4706 SUCCES PSUCC mg.f:679
0.6345 0.6302 0.2713 SUCCES PSUCC mg.f:679
0.9644 0.9571 0.7179 SUCCES PSUCC mg.f:665
0.2933 0.2913 0.6626 SUCCES PSUCC mg.f:665
0.0356 0.0355 0.9662 SUCCES PSUCC mg.f:597
0.3620 0.3596 0.4118 SUCCES PSUCC mg.f:679
0.6037 0.6050 0.7133 SUCCES PSUCC mg.f:667
0.1959 0.1964 0.0877 SUCCES PSUCC mg.f:679
0.2820 0.2800 0.4539 SUCCES PSUCC mg.f:840
0.1094 0.1093 0.3995 SUCCES PSUCC mg.f:604
0.9376 0.9395 0.3420 SUCCES PSUCC mg.f:667
0.5277 0.5291 0.2143 SUCCES PSUCC mg.f:634
0.6192 0.6106 0.0855 SUCCES PSUCC mg.f:667
0.8597 0.8623 0.3875 SUCCES PSUCC mg.f:679
0.4500 0.4493 0.2592 SUCCES PSUCC mg.f:597
0.7722 0.7664 0.1966 SUCCES PSUCC mg.f:597
0.1029 0.1023 0.1452 SUCCES PSUCC mg.f:604
0.3441 0.3417 0.9480 SUCCES PSUCC mg.f:679
0.6759 0.6754 0.8962 SUCCES PSUCC mg.f:755
0.5010 0.4975 0.3394 SUCCES PSUCC mg.f:679
0.8321 0.8313 0.7845 SUCCES PSUCC mg.f:665
0.1620 0.1610 0.2313 SUCCES PSUCC mg.f:665
0.4003 0.4012 0.0335 SUCCES PSUCC mg.f:679
0.9937 0.9958 0.9060 SUCCES PSUCC mg.f:667
0.0769 0.0765 0.2696 SUCCES PSUCC mg.f:604
0.9077 0.9002 0.7184 SUCCES PSUCC mg.f:604
0.2348 0.2349 0.6621 SUCCES PSUCC mg.f:604
0.5666 0.5626 0.6099 SUCCES PSUCC mg.f:667
0.3044 0.3024 0.4117 SUCCES PSUCC mg.f:604
0.6321 0.6277 0.3529 SUCCES PSUCC mg.f:663
0.4632 0.4644 0.8011 SUCCES PSUCC mg.f:679
0.0514 0.0516 0.1714 SUCCES PSUCC mg.f:667
0.1390 0.1382 0.5390 SUCCES PSUCC mg.f:770
0.9687 0.9684 0.4850 SUCCES PSUCC mg.f:665
0.7960 0.7974 0.9293 SUCCES PSUCC mg.f:667
0.8841 0.8835 0.7981 SUCCES PSUCC mg.f:850
0.7157 0.7130 0.2463 SUCCES PSUCC mg.f:595
0.5430 0.5425 0.1906 SUCCES PSUCC mg.f:1422
0.3670 0.3645 0.1306 SUCCES PSUCC mg.f:667
0.1996 0.2001 0.5785 SUCCES PSUCC mg.f:665
0.7961 0.7977 0.9559 SUCCES PSUCC mg.f:679
0.3782 0.3774 0.8188 SUCCES PSUCC mg.f:595
0.7066 0.7014 0.7634 SUCCES PSUCC mg.f:597
0.9480 0.9416 0.0681 SUCCES PSUCC mg.f:679
0.2750 0.2748 0.0101 SUCCES PSUCC mg.f:858
0.1018 0.1012 0.4555 SUCCES PSUCC mg.f:595
0.9356 0.9373 0.9047 SUCCES PSUCC mg.f:667
