Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.7139 0.4473 0.3233 SUCCES PFAIL cg.f:578
0.7404 0.4626 0.3701 SUCCES PFAIL cg.f:578
0.2638 0.1657 0.4169 SUCCES PFAIL cg.f:578
0.3809 0.2396 0.6128 SUCCES PFAIL cg.f:578
0.4118 0.2591 0.6637 SUCCES PFAIL cg.f:578
0.0226 0.0143 0.3521 SUCCES PFAIL cg.f:580
0.1361 0.0856 0.0414 SUCCES PFAIL cg.f:578
0.6607 0.4158 0.5903 SUCCES PFAIL cg.f:578
0.7743 0.4868 0.7795 SUCCES PFAIL cg.f:578
0.8897 0.5596 0.9711 SUCCES PFAIL cg.f:578
0.4135 0.2600 0.0187 SUCCES PFAIL cg.f:578
0.0320 0.0202 0.7137 SUCCES PFAIL cg.f:578
0.5595 0.3516 0.7610 SUCCES PFAIL cg.f:578
0.6685 0.4203 0.9481 SUCCES PFAIL cg.f:578
0.2853 0.1794 0.1404 SUCCES PFAIL cg.f:578
0.8131 0.5107 0.6926 SUCCES PFAIL cg.f:578
0.3375 0.2125 0.7382 SUCCES PFAIL cg.f:578
0.9515 0.5969 0.9268 SUCCES PFAIL cg.f:578
0.5632 0.3538 0.1170 SUCCES PFAIL cg.f:578
0.0927 0.0583 0.6689 SUCCES PFAIL cg.f:578
0.2039 0.1284 0.3579 SUCCES PFAIL cg.f:578
0.2327 0.1461 0.9073 SUCCES PFAIL cg.f:578
0.3474 0.2180 0.0999 SUCCES PFAIL cg.f:578
0.8701 0.5464 0.6449 SUCCES PFAIL cg.f:578
0.4873 0.3065 0.3386 SUCCES PFAIL cg.f:578
0.5989 0.3760 0.5269 SUCCES PFAIL cg.f:578
0.6249 0.3923 0.0763 SUCCES PFAIL cg.f:578
0.6522 0.4099 0.1244 SUCCES PFAIL cg.f:578
0.2639 0.1660 0.3129 SUCCES PFAIL cg.f:578
0.8793 0.5529 0.0054 SUCCES PFAIL cg.f:578
0.9128 0.5735 0.0593 SUCCES PFAIL cg.f:578
0.0213 0.0134 0.7465 SUCCES PFAIL cg.f:578
0.5451 0.3422 0.2918 SUCCES PFAIL cg.f:578
0.6599 0.4154 0.9837 SUCCES PFAIL cg.f:578
0.6875 0.4324 0.5338 SUCCES PFAIL cg.f:578
0.2996 0.1885 0.7226 SUCCES PFAIL cg.f:577
