Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.6702 0.6065 0.8388 SUCCES PFAIL mg.f:667
0.1541 0.1395 0.2209 SUCCES PFAIL mg.f:679
0.2248 0.2034 0.7433 SUCCES PFAIL mg.f:667
0.7039 0.6353 0.1201 SUCCES PFAIL mg.f:679
0.9191 0.8307 0.5680 SUCCES PFAIL mg.f:667
0.2243 0.2032 0.1636 SUCCES PFAIL mg.f:679
0.2988 0.2703 0.6901 SUCCES PFAIL mg.f:634
0.7760 0.7003 0.0645 SUCCES PFAIL mg.f:679
0.5835 0.5275 0.6611 SUCCES PFAIL mg.f:679
0.0644 0.0583 0.5383 SUCCES PFAIL mg.f:597
0.3670 0.3318 0.1306 SUCCES PFAIL mg.f:667
0.8528 0.7689 0.5147 SUCCES PFAIL mg.f:679
0.6583 0.5953 0.6071 SUCCES PFAIL mg.f:679
0.1367 0.1237 0.9850 SUCCES PFAIL mg.f:595
0.9458 0.8541 0.5818 SUCCES PFAIL mg.f:1060
0.6683 0.6044 0.0385 SUCCES PFAIL mg.f:667
0.7351 0.6648 0.0566 SUCCES PFAIL mg.f:679
0.2148 0.1943 0.9341 SUCCES PFAIL mg.f:665
0.7814 0.7052 0.9541 SUCCES PFAIL mg.f:604
0.5008 0.4528 0.4073 SUCCES PFAIL mg.f:597
0.8065 0.7299 0.0011 SUCCES PFAIL mg.f:679
0.2875 0.2603 0.8797 SUCCES PFAIL mg.f:665
0.3572 0.3225 0.4022 SUCCES PFAIL mg.f:595
0.5742 0.5162 0.8537 SUCCES PFAIL mg.f:604
0.7928 0.7181 0.3060 SUCCES PFAIL mg.f:604
0.5172 0.4682 0.2624 SUCCES PFAIL mg.f:679
0.0835 0.0757 0.2825 SUCCES PFAIL mg.f:663
0.5628 0.5047 0.1601 SUCCES PFAIL mg.f:604
0.2855 0.2595 0.6138 SUCCES PFAIL mg.f:665
0.8502 0.7686 0.1319 SUCCES PFAIL mg.f:679
0.1578 0.1427 0.7279 SUCCES PFAIL mg.f:755
0.8803 0.7972 0.6850 SUCCES PFAIL mg.f:667
0.9439 0.8524 0.2002 SUCCES PFAIL mg.f:604
0.1653 0.1634 0.1554 SUCCES PSUCC mg.f:667
0.9099 0.8169 0.4630 SUCCES PFAIL mg.f:679
0.1302 0.1178 0.9177 SUCCES PFAIL mg.f:604
0.9372 0.8406 0.0115 SUCCES PFAIL mg.f:595
0.1571 0.1422 0.9648 SUCCES PFAIL mg.f:679
0.6353 0.5735 0.8409 SUCCES PFAIL mg.f:604
0.9472 0.8565 0.4418 SUCCES PFAIL mg.f:679
0.4245 0.3807 0.3157 SUCCES PFAIL mg.f:604
0.1464 0.1325 0.2714 SUCCES PFAIL mg.f:679
0.7115 0.6423 0.7901 SUCCES PFAIL mg.f:593
