Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.7691 0.7172 0.3845 succes PSUCC fft3d.f:2
0.0751 0.0708 0.7361 succes PSUCC fft3d.f:2
0.4653 0.4611 0.2275 succes PSUCC fft3d.f:49
0.0273 0.0258 0.0011 succes PSUCC fft3d.f:120
0.3374 0.3347 0.3580 failed PSUCC fft3d.f:81
0.4047 0.3833 0.6347 succes PSUCC fft3d.f:82
0.2944 0.2785 0.6268 succes PSUCC fft3d.f:2
0.1031 0.0975 0.4808 succes PSUCC fft3d.f:160
0.4944 0.4633 0.4739 succes PSUCC fft3d.f:120
0.3017 0.2844 0.3271 succes PSUCC fft3d.f:2
0.6102 0.6082 0.6821 succes PSUCC fft3d.f:49
0.6778 0.6343 0.9592 succes PSUCC fft3d.f:49
0.4792 0.4535 0.8091 succes PSUCC fft3d.f:166
0.8743 0.8250 0.8038 succes PSUCC fft3d.f:49
0.6843 0.6464 0.1609 succes PSUCC fft3d.f:160
0.0746 0.0707 0.6519 succes PSUCC fft3d.f:49
0.3843 0.3837 0.0072 succes PSUCC fft3d.f:2
0.0383 0.0362 0.4267 succes PSUCC fft3d.f:81
0.8409 0.8350 0.2769 succes PSUCC fft3d.f:78
0.9107 0.8500 0.0558 succes PSUCC fft3d.f:2
0.2134 0.2026 0.9055 succes PSUCC fft3d.f:160
0.6084 0.5708 0.4009 succes PSUCC fft3d.f:2
0.4124 0.3886 0.2520 succes PSUCC fft3d.f:81
0.3072 0.2917 0.2499 succes PSUCC fft3d.f:82
0.1953 0.1942 0.7383 succes PSUCC fft3d.f:49
0.2669 0.2527 0.5195 succes PSUCC fft3d.f:82
0.0763 0.0720 0.8736 succes PSUCC fft3d.f:49
0.4652 0.4410 0.8646 succes PSUCC fft3d.f:2
0.8592 0.8103 0.3608 succes PSUCC fft3d.f:126
0.6630 0.6205 0.7103 succes PSUCC fft3d.f:48
0.9739 0.9690 0.0684 succes PSUCC fft3d.f:56
0.5335 0.5042 0.8369 succes PSUCC ()
0.8449 0.7979 0.1940 succes PSUCC fft3d.f:82
0.7378 0.6955 0.6894 succes PSUCC fft3d.f:48
0.5442 0.5437 0.0426 succes PSUCC fft3d.f:78
0.1989 0.1884 0.9642 succes PSUCC fft3d.f:2
0.9995 0.9392 0.3104 succes PSUCC fft3d.f:46
0.3923 0.3704 0.3038 succes PSUCC fft3d.f:81
0.1998 0.1893 0.6576 succes PSUCC fft3d.f:2
0.5908 0.5578 0.6490 succes PSUCC ()
0.4010 0.3806 0.5057 succes PSUCC fft3d.f:48
0.2918 0.2751 0.4992 succes PSUCC fft3d.f:79
0.5980 0.5608 0.3505 succes PSUCC fft3d.f:2
0.4109 0.3880 0.2106 succes PSUCC fft3d.f:82
0.7964 0.7859 0.6968 succes PSUCC fft3d.f:49
0.3643 0.3441 0.4754 succes PSUCC fft3d.f:81
0.1688 0.1589 0.8248 succes PSUCC fft3d.f:160
0.5628 0.5301 0.3198 succes PSUCC fft3d.f:82
0.8694 0.8159 0.6744 succes PSUCC fft3d.f:46
0.6777 0.6405 0.0287 succes PSUCC fft3d.f:49
0.0668 0.0669 0.0202 succes PSUCC fft3d.f:46
0.6373 0.5986 0.7998 succes PSUCC fft3d.f:49
0.5239 0.4927 0.2894 succes PSUCC fft3d.f:49
0.8392 0.7880 0.6487 succes PSUCC fft3d.f:81
0.6402 0.6043 0.4965 succes PSUCC ()
0.0335 0.0315 0.9919 succes PSUCC fft3d.f:82
0.3418 0.3397 0.8448 succes PSUCC fft3d.f:82
0.4056 0.3849 0.6217 succes PSUCC fft3d.f:81
0.2985 0.2815 0.1160 succes PSUCC fft3d.f:82
0.6945 0.6547 0.1107 succes PSUCC fft3d.f:166
0.4973 0.4684 0.9613 failed PSUCC fft3d.f:82
0.3946 0.3725 0.4585 succes PSUCC fft3d.f:82
0.6954 0.6953 0.8061 succes PSUCC fft3d.f:49
0.3519 0.3309 0.7269 succes PSUCC fft3d.f:81
0.1605 0.1519 0.5824 succes PSUCC fft3d.f:165
0.0482 0.0457 0.5721 succes PSUCC fft3d.f:166
0.8585 0.8118 0.4289 succes PSUCC fft3d.f:2
0.7521 0.7121 0.4235 succes PSUCC fft3d.f:48
0.5578 0.5525 0.7744 succes PSUCC fft3d.f:48
0.6253 0.5915 0.0518 succes PSUCC fft3d.f:82
0.5163 0.4888 0.0455 succes PSUCC fft3d.f:48
0.4113 0.3889 0.5399 succes PSUCC fft3d.f:81
0.7160 0.6769 0.3934 succes PSUCC fft3d.f:2
0.5214 0.4934 0.7453 succes PSUCC fft3d.f:82
0.4111 0.4069 0.7357 succes PSUCC ()
0.9816 0.9239 0.0158 succes PSUCC fft3d.f:82
0.3758 0.3540 0.0114 succes PSUCC fft3d.f:160
0.1811 0.1709 0.8626 succes PSUCC fft3d.f:47
0.5757 0.5463 0.3578 succes PSUCC fft3d.f:49
0.4681 0.4419 0.3526 succes PSUCC fft3d.f:48
0.7715 0.7715 0.2011 succes PSUCC fft3d.f:120
0.9252 0.8727 0.6200 succes PSUCC fft3d.f:48
0.2364 0.2221 0.4778 succes PSUCC fft3d.f:48
0.5415 0.5073 0.8303 succes PSUCC ()
0.8408 0.7881 0.1753 succes PSUCC fft3d.f:166
0.7379 0.6980 0.1741 succes PSUCC fft3d.f:49
0.0421 0.0420 0.0245 succes PSUCC fft3d.f:82
0.1136 0.1069 0.8065 succes PSUCC ()
0.5092 0.4805 0.3031 succes PSUCC fft3d.f:81
0.3140 0.2959 0.1542 succes PSUCC fft3d.f:49
0.2047 0.2057 0.1467 succes PSUCC fft3d.f:49
0.2639 0.2506 0.9175 succes PSUCC fft3d.f:166
0.6637 0.6252 0.9167 succes PSUCC fft3d.f:48
0.5536 0.5224 0.4075 succes PSUCC fft3d.f:120
0.3613 0.3582 0.2632 succes PSUCC fft3d.f:2
0.9276 0.8680 0.0402 succes PSUCC fft3d.f:49
0.7340 0.6932 0.3924 succes PSUCC fft3d.f:160
0.1244 0.1181 0.8825 succes PSUCC fft3d.f:47
0.5198 0.4907 0.3789 succes PSUCC fft3d.f:46
0.3259 0.3050 0.7326 succes PSUCC ()
0.6308 0.6280 0.0837 succes PSUCC fft3d.f:82
0.7064 0.6670 0.8687 succes PSUCC fft3d.f:82
0.4998 0.4723 0.7100 succes PSUCC fft3d.f:94
0.3995 0.3787 0.7092 succes PSUCC fft3d.f:48
0.2935 0.2759 0.2074 succes PSUCC fft3d.f:2
0.6021 0.5686 0.0604 succes PSUCC fft3d.f:2
0.3978 0.3760 0.9043 succes PSUCC fft3d.f:2
0.7953 0.7491 0.9013 succes PSUCC fft3d.f:160
